Campaign,Day,Cost (micros),Currency,Impr.,Clicks
Search - Brand,2026-06-08,89180000,USD,32279,860
Search - Brand,2026-06-09,100510000,USD,29931,880
Search - Brand,2026-06-10,60700000,USD,14154,377
Search - Brand,2026-06-11,76050000,USD,24303,504
Search - Brand,2026-06-12,92230000,USD,26020,732
Search - Brand,2026-06-13,77820000,USD,27134,415
Search - Brand,2026-06-14,72100000,USD,15065,198
Search - Generic,2026-06-08,180870000,USD,55817,1595
Search - Generic,2026-06-09,194510000,USD,45113,950
Search - Generic,2026-06-10,306710000,USD,127096,2817
Search - Generic,2026-06-11,214860000,USD,43858,580
Search - Generic,2026-06-12,203320000,USD,45353,380
Search - Generic,2026-06-13,267100000,USD,65662,2252
Search - Generic,2026-06-14,271100000,USD,94174,1074
Display Remarketing,2026-06-08,90630000,USD,26990,851
Display Remarketing,2026-06-09,74150000,USD,21700,431
Display Remarketing,2026-06-10,52320000,USD,10062,336
Display Remarketing,2026-06-11,68750000,USD,25939,488
Display Remarketing,2026-06-12,46150000,USD,15278,144
Display Remarketing,2026-06-13,50360000,USD,15867,257
Display Remarketing,2026-06-14,97660000,USD,20355,582
YouTube Prospecting,2026-06-08,162760000,USD,60185,848
YouTube Prospecting,2026-06-09,152710000,USD,43999,877
YouTube Prospecting,2026-06-10,193220000,USD,80690,1310
YouTube Prospecting,2026-06-11,164520000,USD,53684,1502
YouTube Prospecting,2026-06-12,203710000,USD,46826,641
YouTube Prospecting,2026-06-13,169250000,USD,36844,467
YouTube Prospecting,2026-06-14,99010000,USD,17885,360
Performance Max - All,2026-06-08,333270000,USD,83284,1186
Performance Max - All,2026-06-09,361330000,USD,126001,2552
Performance Max - All,2026-06-10,356470000,USD,143207,4191
Performance Max - All,2026-06-11,341010000,USD,115494,3835
Performance Max - All,2026-06-12,291430000,USD,90545,2307
Performance Max - All,2026-06-13,411290000,USD,155628,1545
Performance Max - All,2026-06-14,227150000,USD,57656,1627
