campaign_name,date,spend_usd,impressions,clicks
Summer Sale,06/15/2026,168.91,69211,2413
Summer Sale,06/16/2026,188.03,66265,807
Summer Sale,06/17/2026,150.73,62174,1469
Summer Sale,06/18/2026,186.08,66898,638
Summer Sale,06/19/2026,192.12,57767,1792
Summer Sale,06/20/2026,130.67,53651,545
Summer Sale,06/21/2026,134.76,43501,1141
Brand Awareness Q2,06/15/2026,94.58,19745,632
Brand Awareness Q2,06/16/2026,95.64,30861,762
Brand Awareness Q2,06/17/2026,112.25,35929,
Brand Awareness Q2,06/18/2026,161.73,37039,
Brand Awareness Q2  ,06/19/2026,94.91,26099,682
Brand Awareness Q2,06/20/2026,100.80,25792,729
Brand Awareness Q2  ,06/21/2026,78.96,22897,800
Retargeting - US,06/15/2026,132.70,26219,360
Retargeting - US,06/16/2026,77.16,31171,
Retargeting - US,06/17/2026,123.82,33268,407
Retargeting - US,06/18/2026,120.36,41987,1029
Retargeting - US,06/19/2026,132.03,44488,365
Retargeting - US,06/20/2026,119.10,29995,777
Retargeting - US,06/21/2026,128.36,27241,302
App Install Push,06/15/2026,143.98,45033,691
App Install Push,06/16/2026,227.61,80170,1082
App Install Push,06/17/2026,232.55,56592,1199
App Install Push,06/18/2026,278.10,106530,1117
App Install Push,06/19/2026,197.16,48580,393
App Install Push,06/20/2026,255.55,85074,1282
App Install Push,06/21/2026,250.53,78266,1529
Lead Gen Webinar  ,06/15/2026,36.46,7221,229
Lead Gen Webinar,06/16/2026,79.39,24685,753
Lead Gen Webinar,06/17/2026,63.96,13786,157
Lead Gen Webinar,06/18/2026,50.80,20104,592
Lead Gen Webinar,06/19/2026,77.31,30594,418
Lead Gen Webinar,06/20/2026,47.98,9820,285
Lead Gen Webinar,06/21/2026,78.44,21769,538
