campaign_name,date,spend_usd,impressions,clicks
Summer Sale,06/29/2026,220.09,51175,1520
Summer Sale,06/30/2026,208.21,60691,1398
Brand Awareness Q2,06/29/2026,160.08,33476,388
Brand Awareness Q2,06/30/2026,116.61,35854,827
Retargeting - US,06/29/2026,81.11,29301,584
Retargeting - US,06/30/2026,118.94,46872,915
App Install Push,06/29/2026,278.35,79891,982
App Install Push,06/30/2026,270.73,77974,2206
Lead Gen Webinar,06/29/2026,76.31,18814,545
Lead Gen Webinar,06/30/2026,59.26,14069,279
