Campaign,Day,Cost (micros),Currency,Impr.,Clicks
Search - Brand,2026-06-07,117410000,USD,37355,779
Search - Generic,2026-06-07,359990000,USD,110945,3604
Performance Max - All,2026-06-01,328800000,USD,130838,2372
Display Remarketing,2026-06-03,56570000,USD,14627,296
YouTube Prospecting,2026-06-03,118630000,USD,34836,386
Search - Brand,2026-06-02,118300000,USD,23581,284
YouTube Prospecting,2026-06-07,127320000,USD,40600,1343
YouTube Prospecting,2026-06-02,119670000,USD,45643,1130
Display Remarketing,2026-06-01,75150000,USD,25484,261
Performance Max - All,2026-06-01,328800000,USD,130838,2372
Performance Max - All,2026-06-05,383460000,USD,121105,1103
Search - Brand,2026-06-05,58480000,USD,22216,411
Display Remarketing,2026-06-07,95310000,USD,22284,219
Search - Brand,2026-06-04,83870000,USD,21756,447
YouTube Prospecting,2026-06-05,134270000,USD,43693,1486
Search - Brand,2026-06-06,109430000,USD,44544,379
YouTube Prospecting,2026-06-01,204870000,USD,38856,343
Performance Max - All,2026-06-04,260790000,USD,89769,2670
Search - Brand,2026-06-01,105380000,USD,24899,424
Search - Generic,2026-06-04,257550000,USD,63229,1334
Search - Generic,2026-06-06,306630000,USD,117047,3842
Display Remarketing,2026-06-06,68340000,USD,24586,231
Display Remarketing,2026-06-05,95270000,USD,26787,818
Search - Brand,2026-06-07,117410000,USD,37355,779
YouTube Prospecting,2026-06-04,203730000,USD,59409,886
Search - Generic,2026-06-01,352090000,USD,88609,1641
Display Remarketing,2026-06-01,75150000,USD,25484,261
Search - Generic,2026-06-02,341460000,USD,129951,2928
Search - Brand,2026-06-03,81580000,USD,17676,243
Performance Max - All,2026-06-04,260790000,USD,89769,2670
YouTube Prospecting,2026-06-06,176200000,USD,64607,802
Display Remarketing,2026-06-02,66000000,USD,25610,330
Display Remarketing,2026-06-07,95310000,USD,22284,219
YouTube Prospecting,2026-06-03,118630000,USD,34836,386
YouTube Prospecting,2026-06-06,176200000,USD,64607,802
Performance Max - All,2026-06-02,419480000,USD,95473,2290
Performance Max - All,2026-06-03,391980000,USD,93402,2505
Performance Max - All,2026-06-07,346590000,USD,63438,1226
Display Remarketing,2026-06-04,60900000,USD,23818,369
Performance Max - All,2026-06-06,318120000,USD,107767,1062
Search - Generic,2026-06-05,236880000,USD,80664,2383
YouTube Prospecting,2026-06-07,127320000,USD,40600,1343
Search - Generic,2026-06-03,308800000,USD,114863,3703
