Campaign,Day,Cost (micros),Currency,Impr.,Clicks
Search - Brand,2026-06-29,98700000,USD,33820,928
Search - Brand,2026-06-30,101460000,USD,38676,965
Search - Generic,2026-06-29,343910000,USD,115251,1883
Search - Generic,2026-06-30,247690000,USD,79037,2195
Display Remarketing,2026-06-29,47050000,USD,11801,332
Display Remarketing,2026-06-30,51840000,USD,10975,247
YouTube Prospecting,2026-06-29,206580000,USD,63503,2074
YouTube Prospecting,2026-06-30,189660000,USD,45835,1387
Performance Max - All,2026-06-29,305500000,USD,114121,3213
Performance Max - All,2026-06-30,270000000,USD,56062,1906
