Campaign,Day,Cost (micros),Currency,Impr.,Clicks
Search - Brand,2026-06-22,67580000,USD,23477,550
Search - Brand,2026-06-23,70820000,USD,25929,237
Search - Brand,2026-06-24,107620000,USD,37586,1124
Search - Brand,2026-06-25,81800000,USD,27753,837
Search - Brand,2026-06-26,124620000,USD,37246,335
Search - Brand,2026-06-27,90160000,USD,28999,912
Search - Brand,2026-06-28,116940000,USD,33406,741
Search - Generic,2026-06-22,251040000,USD,88714,1691
Search - Generic,2026-06-23,292190000,USD,63418,1311
Search - Generic,2026-06-24,357590000,USD,93422,2494
Search - Generic,2026-06-25,291170000,USD,111932,3471
Search - Generic,2026-06-26,334740000,USD,90782,1502
Search - Generic,2026-06-27,305490000,USD,110665,3491
Search - Generic,2026-06-28,163470000,USD,32108,804
Display Remarketing,2026-06-22,93570000,USD,39241,1105
Display Remarketing,2026-06-23,66300000,USD,13500,339
Display Remarketing,2026-06-24,90860000,USD,26029,695
Display Remarketing,2026-06-25,92590000,USD,17688,521
Display Remarketing,2026-06-26,58430000,USD,15773,188
Display Remarketing,2026-06-27,71750000,USD,22660,666
Display Remarketing,2026-06-28,51520000,USD,10250,323
YouTube Prospecting,2026-06-22,164370000,USD,39087,1276
YouTube Prospecting,2026-06-23,107170000,USD,31151,462
YouTube Prospecting,2026-06-24,120640000,USD,21987,653
YouTube Prospecting,2026-06-25,198150000,USD,67891,832
YouTube Prospecting,2026-06-26,143010000,USD,37602,897
YouTube Prospecting,2026-06-27,166670000,USD,46973,692
YouTube Prospecting,2026-06-28,191440000,USD,43612,801
Performance Max - All,2026-06-22,305840000,USD,72462,1698
Performance Max - All,2026-06-23,328550000,USD,137414,2194
Performance Max - All,2026-06-24,428530000,USD,144832,2232
Performance Max - All,2026-06-25,326350000,USD,112457,3160
Performance Max - All,2026-06-26,198160000,USD,64508,1381
Performance Max - All,2026-06-27,410230000,USD,102018,3016
Performance Max - All,2026-06-28,336550000,USD,89036,2242
