campaign_name,date,spend_usd,impressions,clicks
Summer Sale,06/08/2026,17334.00,70881,2243
Summer Sale,06/09/2026,14593.00,43799,561
Summer Sale,06/10/2026,23942.00,93116,1495
Summer Sale,06/11/2026,20001.00,65233,791
Summer Sale,06/12/2026,21780.00,67398,1956
Summer Sale,06/13/2026,18437.00,33211,556
Summer Sale,06/14/2026,11080.00,44650,1416
Brand Awareness Q2,06/08/2026,15184.00,38537,368
Brand Awareness Q2,06/09/2026,15629.00,63651,656
Brand Awareness Q2,06/10/2026,11866.00,23329,665
Brand Awareness Q2,06/11/2026,14552.00,30677,639
Brand Awareness Q2,06/12/2026,12478.00,30398,959
Brand Awareness Q2,06/13/2026,11262.00,25996,586
Brand Awareness Q2,06/14/2026,14207.00,32431,532
Retargeting - US,06/08/2026,13263.00,44559,883
Retargeting - US,06/09/2026,9634.00,20139,283
Retargeting - US,06/10/2026,8269.00,26559,377
Retargeting - US,06/11/2026,7374.00,14529,363
Retargeting - US,06/12/2026,7440.00,29559,922
Retargeting - US,06/13/2026,6239.00,14793,385
Retargeting - US,06/14/2026,7328.00,15517,516
App Install Push,06/08/2026,22194.00,65126,1900
App Install Push,06/09/2026,26166.00,59056,627
App Install Push,06/10/2026,19842.00,55886,1151
App Install Push,06/11/2026,24848.00,84882,2934
App Install Push,06/12/2026,14253.00,39427,676
App Install Push,06/13/2026,27076.00,64895,852
App Install Push,06/14/2026,20137.00,56635,879
Lead Gen Webinar,06/08/2026,4799.00,19272,384
Lead Gen Webinar,06/09/2026,7734.00,24136,226
Lead Gen Webinar,06/10/2026,8397.00,31962,1091
Lead Gen Webinar,06/11/2026,8047.00,30875,385
Lead Gen Webinar,06/12/2026,5931.00,13718,258
Lead Gen Webinar,06/13/2026,3881.00,10515,363
Lead Gen Webinar,06/14/2026,4873.00,17941,363
