campaign_name,date,spend_usd,impressions,clicks
Summer Sale,06/22/2026,111.57,39805,675
Summer Sale,06/23/2026,242.04,90168,2824
Summer Sale,06/24/2026,224.75,54846,1604
Summer Sale,06/25/2026,123.57,48108,1500
Summer Sale,06/26/2026,140.03,52648,1075
Summer Sale,06/27/2026,151.95,56355,797
Summer Sale,06/28/2026,-111.41,25217,425
Brand Awareness Q2,06/22/2026,154.98,63860,992
Brand Awareness Q2,06/23/2026,133.58,36857,1271
Brand Awareness Q2,06/24/2026,123.48,50060,556
Brand Awareness Q2,06/25/2026,165.16,36806,1250
Brand Awareness Q2,06/26/2026,97.48,20082,396
Brand Awareness Q2,06/27/2026,141.94,36234,882
Brand Awareness Q2,06/28/2026,121.10,32993,777
Retargeting - US,06/22/2026,76.36,26734,215
Retargeting - US,06/23/2026,127.34,39377,1079
Retargeting - US,06/24/2026,113.39,38660,689
Retargeting - US,06/25/2026,62.32,21152,357
Retargeting - US,06/26/2026,80.86,31011,850
Retargeting - US,06/27/2026,79.82,20292,386
Retargeting - US,06/28/2026,87.58,21978,251
App Install Push,06/22/2026,196.63,79770,2096
App Install Push,06/23/2026,277.67,90999,1467
App Install Push,06/24/2026,218.05,39270,618
App Install Push,06/25/2026,198.22,63271,1624
App Install Push,06/26/2026,204.12,58402,804
App Install Push,06/27/2026,205.50,81436,2401
App Install Push,06/28/2026,154.51,30956,678
Lead Gen Webinar,06/22/2026,66.38,17288,520
Lead Gen Webinar,06/23/2026,72.05,24602,346
Lead Gen Webinar,06/24/2026,45.56,8467,123
Lead Gen Webinar,06/25/2026,58.81,22579,225
Lead Gen Webinar,06/26/2026,55.89,18507,245
Lead Gen Webinar,06/27/2026,69.43,20735,302
Lead Gen Webinar,06/28/2026,67.49,12238,346
